Year, Price, Miles
2009, 6950, 210300
2009, 8700, 126000
2009, 7990, 154211
2010, 10900, 156744
2010, 4500, 233000
2010, 8900, 158000
2011, 10500, 165000
2011, 9990, 161785
2011, 11990, 152620
2011, 7490, 189900
2011, 9990, 169000
2011, 10890, 171500
2011, 9990, 114000
2011, 9990, 155000
2012, 12900, 161265
2012, 12500, 112300
2012, 9990, 184925
2012, 13990, 80454
2012, 12500, 122500
2012, 11990, 147594
2012, 9999, 161874
2013, 14490, 95990
2013, 14800, 93435
2013, 12500, 121169
2013, 16990, 90138
2013, 9300, 234770
2013, 10900, 135000
2013, 16990, 86500
2013, 16800, 115770
2013, 14980, 80450
2013, 16900, 117023
2013, 12900, 149950
2013, 21000, 60000
2013, 15990, 81000
2014, 19590, 129265
2014, 21999, 89230
2014, 20999, 106218
2014, 22800, 32698
2014, 20999, 97336
2014, 20999, 109058
2014, 14690, 93076
2014, 16990, 152300
2014, 20280, 102057
2014, 15400, 84000
2014, 13590, 80362
2014, 20490, 115800
2014, 19900, 69959
2014, 22900, 40100
2014, 20500, 113000
2014, 13250, 113666
2014, 18990, 133800
2014, 20500, 106000
2014, 10900, 130988
2014, 21900, 92174
2014, 11500, 106346
2014, 18980, 99990
2015, 22990, 79643
2015, 18500, 79600
2015, 27490, 63362
2015, 22990, 122749
2015, 25950, 51000
2015, 18990, 46046
2015, 18350, 101680
2015, 25990, 51512
2015, 19900, 76550
2015, 23990, 89744
2015, 19500, 71300
2015, 24990, 63000
2015, 19900, 102571
2015, 19900, 102571
2015, 18900, 75125
2016, 28980, 50875
2016, 23900, 85800
2016, 23490, 60950
2016, 29990, 24589
2016, 31499, 20746
2016, 17490, 99000
2016, 29990, 34635
2016, 18900, 86735
2016, 21690, 43200
2016, 19990, 79900
2016, 22900, 49590
2016, 18990, 82846
2016, 19990, 85000
2016, 25800, 48000
2016, 17990, 42524
2016, 28800, 40248
2016, 27890, 15100
2016, 22000, 54869
2016, 23900, 43360
2016, 25900, 77676
2017, 34990, 19900
2017, 25990, 35893
2017, 33990, 30055
2017, 32990, 3000
2017, 21950, 17746
2017, 24990, 89900
2017, 22990, 16975
2017, 28490, 63396
2017, 25490, 1750
2017, 24990, 18432
2017, 17990, 46490
2017, 21900, 18483
2017, 26950, 21000
2017, 26500, 16500
2017, 31980, 27061
2017, 36500, 3000
2017, 20950, 17746
2017, 26490, 11205
2017, 22990, 16978
2017, 27900, 51990
2017, 23990, 10517
2017, 33000, 56000
2017, 34000, 28000
2017, 28990, 28861
2017, 38990, 8500
2017, 15980, 142187
2017, 25900, 35400
2017, 37900, 39849
2017, 18990, 93043
2017, 32900, 17341
2017, 27990, 21413
2018, 32000, 19500
2018, 30900, 29254
2018, 33490, 26000
2018, 35990, 35000
2018, 30714, 16000
2018, 35900, 2500
2018, 40990, 3000
2018, 33990, 4000
2018, 34980, 8373
2018, 37559, 2100
2018, 36599, 6905
2018, 39990, 3500
2018, 25489, 6995
2018, 33500, 15000
2018, 42000, 1090
2018, 36400, 20434
2018, 29990, 10050
2018, 34390, 27290
2018, 42900, 5000
2018, 35990, 7600
2018, 40900, 4000
2018, 35990, 7591
2018, 29900, 19702
2018, 38990, 13590
2018, 35980, 6583
2018, 37490, 7350
2018, 44990, 200
2018, 31900, 18950
2018, 38890, 11900
2018, 25990, 9500
2018, 31900, 46590
2018, 41900, 14700
2018, 35990, 25083
2018, 34490, 6281
2018, 34870, 28525
2018, 42650, 440
2018, 24900, 17900
2018, 25025, 8300
2018, 29990, 2000
2018, 26900, 30449
2018, 37040, 5000
2018, 29900, 11150
2018, 27490, 10980
2018, 37900, 17350
2018, 34900, 3060
2018, 35490, 13500
2018, 28200, 13887
2018, 35990, 16500
2018, 39900, 23750
2018, 34990, 9255
2018, 34990, 17714
2018, 44900, 5550
2018, 32900, 16352
2019, 34990, 100
2019, 34990, 100
2019, 46140, 10
2019, 36140, 10
2019, 43997, 4900
2019, 31500, 11500
2019, 46640, 10
2019, 36990, 990
2019, 46640, 10
2019, 36990, 4000
2019, 40140, 10
2019, 36900, 5173
2019, 45490, 10
2019, 37497, 1400
2019, 36997, 1400
2019, 34400, 100
2019, 33900, 500
2019, 42900, 10
2019, 33990, 10
2019, 37490, 162
2019, 38490, 395
2019, 42490, 10
2019, 42900, 15
2019, 33900, 15
2019, 34400, 100
2019, 33990, 10
2019, 43900, 15
2019, 35990, 3500
2019, 43990, 5
2019, 43900, 15
2019, 38490, 1920
2019, 42190, 3400
2019, 39900, 5000
2019, 33700, 917
2019, 34790, 7500
2019, 39900, 5000
2019, 37990, 1220
2019, 42900, 10
2019, 42900, 10
2019, 33900, 15
2019, 39900, 5500
2019, 32490, 10
2019, 36900, 10
2019, 31490, 2000
2019, 36990, 3300
2019, 44640, 10
2019, 33890, 10
2019, 39990, 10
2019, 43790, 2000
2019, 37094, 6000
2019, 32990, 10
2019, 44790, 10
2019, 36140, 10
2019, 36500, 1000
2019, 35980, 5
2019, 39490, 10
2019, 32980, 10
2019, 38490, 10
2019, 35490, 5
2019, 42900, 3000
2019, 26290, 10
2019, 43490, 10
2019, 38380, 10
2019, 42500, 2700
2019, 35980, 5
2019, 34140, 10
2019, 39590, 20
2019, 43990, 2990
2019, 35990, 10
2019, 38990, 10
2019, 43990, 10
2019, 39990, 20
2019, 40140, 10
2019, 40990, 10
2019, 35990, 10
2019, 45990, 10
2019, 44640, 10
2019, 40990, 2000
2019, 46640, 10
2019, 32990, 10
2019, 44000, 1000
2019, 39140, 10
2019, 36990, 5
2019, 44640, 10
2019, 32490, 1900
2019, 41900, 5000
2019, 33590, 10
2019, 35490, 5
2019, 33500, 10
2019, 41900, 4800
2019, 34590, 10
2019, 33490, 1342
2019, 37730, 10
2019, 33790, 4700
2019, 42900, 35
2019, 34490, 5000
